"total_study","available_study","median_ES","combined_rank","signed_combined_rank","quantile_pval","branch","niche","gene","available_ratio","criterion_available","criterion_rank","criterion_quantile","criterion_all"
16,16,3.10280553221106,0.712274653451124,0.712274653451124,0.0492274055424935,"MLCP_niche","MLCP_Niche_11","TNF_TNFRSF1B",1,TRUE,TRUE,TRUE,TRUE
16,13,6.87619322430374,0.854700854700855,0.854700854700855,0.001275345685765,"MLCP_niche","MLCP_Niche_11","CXCL2_ACKR1",0.8125,TRUE,TRUE,TRUE,TRUE
16,15,4.8831112666403,0.831896551724138,0.831896551724138,1.24231235894138e-06,"MLCP_niche","MLCP_Niche_11","CXCL13_ACKR1",0.9375,TRUE,TRUE,TRUE,TRUE
16,12,1.88422652519886,0.929166666666667,0.929166666666667,0.0491356088943032,"MLCP_niche","MLCP_Niche_34","OSM_LIFR_IL6ST",0.75,TRUE,TRUE,TRUE,TRUE
14,12,36.2914974434505,0.796423562412342,0.796423562412342,0.00331496618155755,"MLCP_niche","MLCP_Niche_36","CCL19_CCR7",0.857142857142857,TRUE,TRUE,TRUE,TRUE
11,4,3.75086002433876,0.939183190292986,0.939183190292986,0.00915115918737953,"MLCP_niche","MLCP_Niche_37","CXCL3_ACKR1",0.363636363636364,TRUE,TRUE,TRUE,TRUE
10,10,6.80243502004808,0.61568583575744,0.61568583575744,2.79622113729249e-10,"MLCP_niche","MLCP_Niche_40","SELPLG_SELL",1,TRUE,TRUE,TRUE,TRUE
10,10,167.924777223391,0.690266485998193,0.690266485998193,1.14939708146598e-27,"MLCP_niche","MLCP_Niche_40","CCL21_CCR7",1,TRUE,TRUE,TRUE,TRUE
10,10,3.24677943450271,0.866764922623434,0.866764922623434,2.01726033028604e-05,"MLCP_niche","MLCP_Niche_40","CD40LG_ITGA5_ITGB1",1,TRUE,TRUE,TRUE,TRUE
10,10,6.21269308119218,0.834764227642276,0.834764227642276,0.00109813767427393,"MLCP_niche","MLCP_Niche_40","CD86_CTLA4",1,TRUE,TRUE,TRUE,TRUE
10,10,9.71582415667594,0.853871870626652,0.853871870626652,0.00175558135704106,"MLCP_niche","MLCP_Niche_40","LCK_CD8A_CD8B1",1,TRUE,TRUE,TRUE,TRUE
10,10,19.5780298812173,0.741366450361751,0.741366450361751,0.0279247714638941,"MLCP_niche","MLCP_Niche_40","CXCL9_CXCR3",1,TRUE,TRUE,TRUE,TRUE
10,10,9.7729689962207,0.869655172413793,0.869655172413793,1.20836729141153e-06,"MLCP_niche","MLCP_Niche_40","TNFSF13B_TNFRSF13C",1,TRUE,TRUE,TRUE,TRUE
9,6,9.6863985429951,0.686393467643468,0.686393467643468,0.0302744097212136,"MLCP_niche","MLCP_Niche_9","CXCL13_ACKR1",0.666666666666667,TRUE,TRUE,TRUE,TRUE
9,7,7.63167324978772,0.823008849557522,0.823008849557522,0.0111577121044439,"MLCP_niche","MLCP_Niche_9","CCL8_ACKR1",0.777777777777778,TRUE,TRUE,TRUE,TRUE
9,6,2.10834202127486,0.724858757062147,0.724858757062147,0.0350186272376386,"MLCP_niche","MLCP_Niche_9","CD86_CTLA4",0.666666666666667,TRUE,TRUE,TRUE,TRUE
9,9,3.86914698029923,0.860169491525424,0.860169491525424,0.00447477279751789,"MLCP_niche","MLCP_Niche_9","PTPRC_CD22",1,TRUE,TRUE,TRUE,TRUE
13,11,4.64944312385323,0.786885245901639,0.786885245901639,0.0291093627184524,"SLCP_niche","SLCP_Niche_11","IFNG_IFNGR1_IFNGR2",0.846153846153846,TRUE,TRUE,TRUE,TRUE
16,10,6.19656389968603,0.855549719887955,0.855549719887955,0.00969606647154426,"SLCP_niche","SLCP_Niche_17","CCL21_CCR7",0.625,TRUE,TRUE,TRUE,TRUE
5,5,6.31885192772305,0.939655172413793,0.939655172413793,0.00331829093520238,"SLCP_niche","SLCP_Niche_2","ANGPTL4_ITGA5_ITGB1",1,TRUE,TRUE,TRUE,TRUE
10,9,2.59997036047741,0.93859649122807,0.93859649122807,0.0208622041065204,"SLCP_niche","SLCP_Niche_27","IFNG_IFNGR1_IFNGR2",0.9,TRUE,TRUE,TRUE,TRUE
8,4,4.87229705544867,0.987603305785124,0.987603305785124,0.0325298092352171,"SLCP_niche","SLCP_Niche_34","CXCL3_ACKR1",0.5,TRUE,TRUE,TRUE,TRUE
